Model,Accuracy,Precision,Recall,F1,AUC
BodyParts,0.9986504723346828,0.9988073941562314,0.9985585164407044,0.9986811065860102,0.9999992951367963
Elbow,0.875268817204301,0.8805309734513275,0.8652173913043478,0.8728070175438597,0.9392044403330249
Hand,0.8586956521739131,0.8647058823529412,0.7777777777777778,0.8189415041782729,0.9267459341260078
Shoulder,0.8904847396768402,0.8754448398576512,0.9044117647058824,0.8896925858951176,0.9480392156862746
